categoryID,categoryName,originID
22199,Ayam Bakar/Goreng,32.73
44379,Ayam betutu,51.04
36654,Belalang goreng,34.03
17687,Coto makassar,73.71
30742,Dabu-dabu,71.71
34722,Dadar barendo,13.76
09840,Dendeng,13.76
45540,Gathot,34.03
23138,Getuk goreng,33.02
93095,Gulai asam pedas baung,14.71
53317,Gulai asam pedas patin,14.71
60296,Ikan bakar,81.71
51021,Ikan Bakar/Goreng,32.73
96150,Ikan Dole,74.71
07966,Ikan kuah kuning,82.71
81979,Ikan salai,14.71
90243,Jukut urab,51.71
71842,Kuah soru,82.71
18319,Kue Lopis,31
78730,Lapis Legit,18.71
83096,Lenggang,16.73
91127,Lontong sayur,64.72
79848,Mendoan,33.02
67312,Mendoan,33.04
43816,Mie aceh,11.71
83944,Mie cakalang,71.71
46117,Mie Celor,16.73
94132,Model,74.71
50358,Nasi goreng cakalang,71.71
09250,Nasi goreng roa,71.71
78091,Nasi jajan,35.28
45502,Nasi kelapa,81.71
83627,Nasi kuning,64.72
64499,Nasi sop banjar,63.72
36428,Nasi Timbel,32.71
11516,Nasi Uduk,31
45618,Palai bada,13.76
69504,Pempek,74.71
66525,Perkedel milu,71.71
46207,Perkedel nike,71.71
34822,Pongek cubadak,13.76
39142,Sambal colo-colo,81.71
44532,Sate ayam banjar,63.72
80318,Sate lilit,51.05
25103,Sayur garu,82.71
06928,Sekubal,18.71
70251,Sinonggi,74.71
18899,Soto banjar,63.72
28450,Thiwul,34.03
95715,Timlo solo,33.72
66652,Tinutuan,71.71
87593,Tum,51.71
95412,Wedang uwuh,34.02
ask01,Asam keu’eung,11.71
keu01,Keumamah,11.71
bit01,Boh itek teupeulemak,11.71
san01,Sanger,11.71
